Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
12.54321,8.4678755,66.0,4.0,12.54320987654321,8.9410715,5.2710557,36.0,3.0,8.941071428571428,16.76759147644043,5007,0.5211877822875977,8.9410715,0
19.207546,13.208571,66.0,4.0,19.20754716981132,13.139108,8.836162,59.0,3.0,13.139107611548557,26.396923065185547,10013,1.2117798328399658,,1
23.857143,13.486451,66.0,6.0,23.857142857142858,17.381945,11.355675,113.0,4.0,17.381944444444443,34.8574104309082,15019,1.5875329971313477,,2
29.86111,18.897608,94.0,9.0,29.86111111111111,23.059908,12.910222,63.0,4.0,23.05990783410138,42.79201126098633,20023,1.9644079208374023,,3
41.708332,19.432531,90.0,13.0,41.708333333333336,28.913296,14.946475,73.0,5.0,28.91329479768786,50.75377655029297,25025,2.320664882659912,,4
42.916668,16.413706,78.0,15.0,42.916666666666664,37.44776,16.805546,86.0,9.0,37.44776119402985,63.17348098754883,30043,2.687950849533081,,5
61.941177,18.747456,99.0,33.0,61.94117647058823,44.660713,18.775248,98.0,13.0,44.660714285714285,73.58573150634766,35045,3.06270694732666,,6
38.807693,16.375448,72.0,12.0,38.80769230769231,47.584908,18.563948,119.0,11.0,47.58490566037736,76.02137756347656,40089,3.428328037261963,,7
48.31818,23.193626,101.0,12.0,48.31818181818182,48.747574,19.754177,116.0,12.0,48.74757281553398,79.05778503417969,45110,3.8151607513427734,,8
52.94737,21.670921,107.0,16.0,52.94736842105263,54.434784,20.930685,127.0,14.0,54.43478260869565,86.50782775878906,50118,4.178879022598267,,9
42.24,18.396261,79.0,10.0,42.24,46.583332,18.179722,144.0,13.0,46.583333333333336,74.9023666381836,55149,4.7292070388793945,,10
45.727272,21.80113,110.0,15.0,45.72727272727273,44.769913,16.046398,93.0,7.0,44.769911504424776,70.47164154052734,60208,5.1238179206848145,,11
51.4,20.013494,100.0,19.0,51.4,47.773586,20.835964,159.0,9.0,47.77358490566038,79.37462615966797,65272,5.54273796081543,,12
42.791668,13.595278,75.0,14.0,42.791666666666664,47.320755,14.206395,110.0,17.0,47.320754716981135,71.04814147949219,70288,6.0149078369140625,,13
51.6,16.880165,100.0,34.0,51.6,45.48182,15.00529,118.0,17.0,45.481818181818184,69.56022644042969,75291,6.483991861343384,,14
44.086956,19.388283,104.0,26.0,44.08695652173913,48.737865,15.739358,109.0,23.0,48.737864077669904,75.05598449707031,80311,6.868170976638794,,15
41.75,12.011279,69.0,12.0,41.75,44.08772,13.77995,95.0,15.0,44.08771929824562,66.67131805419922,85337,7.2431769371032715,,16
38.96154,12.948064,67.0,15.0,38.96153846153846,42.897434,15.0913925,97.0,11.0,42.8974358974359,66.22100830078125,90356,7.621949911117554,,17
40.92,11.128055,70.0,16.0,40.92,43.991226,16.867645,126.0,15.0,43.99122807017544,68.98480987548828,95371,7.99351692199707,,18
40.0,19.565275,120.0,15.0,40.0,41.75,16.123611,113.0,12.0,41.75,66.28522491455078,100381,8.412802934646606,,19
43.458332,16.879423,77.0,10.0,43.458333333333336,41.262295,16.258064,98.0,7.0,41.26229508196721,65.7584228515625,105415,8.860032081604004,,20
40.16,17.827349,78.0,13.0,40.16,41.421486,14.002214,91.0,11.0,41.421487603305785,63.6352424621582,110427,9.292149066925049,,21
37.62963,11.50249,63.0,13.0,37.629629629629626,43.773914,16.453392,115.0,12.0,43.77391304347826,68.02342987060547,115461,9.689059972763062,,22
47.857143,18.2712,92.0,16.0,47.857142857142854,41.44628,16.175152,120.0,9.0,41.446280991735534,65.52349853515625,120476,10.068382978439331,,23
44.130436,13.355684,73.0,24.0,44.130434782608695,43.982456,17.443636,114.0,12.0,43.98245614035088,69.18863677978516,125490,10.435995817184448,,24
46.954544,20.6958,114.0,18.0,46.95454545454545,45.07143,16.995123,106.0,11.0,45.07142857142857,70.34549713134766,130538,10.804684162139893,,25
46.090908,17.804262,96.0,25.0,46.09090909090909,47.037384,16.809502,119.0,8.0,47.03738317757009,72.0147933959961,135571,11.168569803237915,,26
59.0,26.372892,127.0,34.0,59.0,49.480392,18.832458,119.0,9.0,49.48039215686274,77.75609588623047,140618,11.550711870193481,,27
64.3125,19.415583,117.0,37.0,64.3125,53.84946,20.821796,129.0,10.0,53.8494623655914,84.22864532470703,145626,11.919553995132446,,28
65.25,29.085005,156.0,34.0,65.25,68.69863,27.358946,147.0,29.0,68.6986301369863,108.26641082763672,150641,12.371034860610962,,29
74.0,28.732758,125.0,28.0,74.0,81.22581,34.429176,161.0,32.0,81.2258064516129,130.62554931640625,155677,12.746652841567993,,30
87.583336,39.379475,176.0,27.0,87.58333333333333,88.45614,34.972202,258.0,8.0,88.45614035087719,136.69483947753906,160719,13.117177963256836,,31
100.0,30.109798,138.0,49.0,100.0,88.2807,29.108843,175.0,28.0,88.28070175438596,131.6042022705078,165751,13.509753942489624,,32
114.22222,47.550625,170.0,30.0,114.22222222222223,103.42857,39.54073,240.0,28.0,103.42857142857143,160.50485229492188,170819,13.887119770050049,,33
140.5,45.574116,233.0,97.0,140.5,121.28571,58.394096,243.0,29.0,121.28571428571429,202.1455841064453,175913,14.261335134506226,,34
102.0,33.722397,149.0,29.0,102.0,125.75,63.723133,337.0,27.0,125.75,211.7777557373047,180943,14.630139827728271,,35
115.77778,35.080154,165.0,57.0,115.77777777777777,99.15385,42.71119,291.0,27.0,99.15384615384616,155.91175842285156,186099,15.100689888000488,,36
130.75,44.132614,191.0,64.0,130.75,113.46667,46.630272,233.0,22.0,113.46666666666667,178.7838592529297,191205,15.489119052886963,,37
102.5,35.04069,160.0,54.0,102.5,122.097565,55.88481,291.0,35.0,122.09756097560975,198.79244995117188,196211,15.904183864593506,,38
91.09091,50.57929,218.0,26.0,91.0909090909091,97.11539,47.842953,232.0,17.0,97.11538461538461,160.259033203125,201261,16.30146098136902,,39
84.583336,21.569494,107.0,42.0,84.58333333333333,93.48148,26.168074,151.0,31.0,93.48148148148148,134.8782501220703,206309,16.71496605873108,,40
90.90909,25.101446,124.0,48.0,90.9090909090909,80.66129,26.636707,132.0,19.0,80.66129032258064,118.06378936767578,211310,17.089442014694214,,41
110.4,32.20621,168.0,41.0,110.4,83.016396,25.521763,137.0,21.0,83.01639344262296,119.33833312988281,216374,17.463669061660767,,42
113.44444,32.414368,188.0,72.0,113.44444444444444,96.65385,31.583763,200.0,22.0,96.65384615384616,142.7216796875,221400,17.837267875671387,,43
159.57143,74.57088,288.0,22.0,159.57142857142858,126.325,44.91402,219.0,19.0,126.325,189.04034423828125,226453,18.22688579559326,,44
174.0,34.554306,199.0,103.0,174.0,167.29033,70.11843,397.0,48.0,167.29032258064515,260.63995361328125,231639,18.604439735412598,,45
160.0,100.04856,381.0,45.0,160.0,157.3125,54.314728,289.0,52.0,157.3125,231.08929443359375,236673,19.016421794891357,,46
157.14285,35.510273,205.0,99.0,157.14285714285714,163.58064,67.708954,284.0,39.0,163.58064516129033,256.02056884765625,241744,19.414276838302612,,47
121.55556,31.930866,200.0,89.0,121.55555555555556,178.72414,68.55297,447.0,60.0,178.72413793103448,270.17291259765625,246927,19.81096601486206,,48
98.09091,18.218145,124.0,56.0,98.0909090909091,128.33333,38.96174,289.0,65.0,128.33333333333334,183.53228759765625,251932,20.21184802055359,,49
104.4,16.871277,143.0,81.0,104.4,108.78261,20.097494,164.0,79.0,108.78260869565217,150.40150451660156,256936,20.595857858657837,,50
99.0,13.644846,121.0,77.0,99.0,100.8,17.859451,143.0,64.0,100.8,137.62306213378906,261976,21.007369995117188,,51
95.09091,16.019615,117.0,56.0,95.0909090909091,92.74074,14.328403,136.0,67.0,92.74074074074075,124.3153076171875,266984,21.376272916793823,,52
111.4,21.317598,147.0,78.0,111.4,95.54717,20.207945,175.0,70.0,95.54716981132076,131.03176879882812,272048,21.781437873840332,,53
119.333336,47.448215,230.0,70.0,119.33333333333333,100.28,16.684174,157.0,75.0,100.28,136.3094024658203,277062,22.190675020217896,,54
158.71428,59.18425,244.0,87.0,158.71428571428572,113.818184,34.376442,248.0,75.0,113.81818181818181,163.07846069335938,282070,22.57490110397339,,55
125.875,31.687685,183.0,75.0,125.875,146.8,49.798336,273.0,83.0,146.8,217.2939910888672,287208,22.948879957199097,,56
92.27273,19.24054,144.0,68.0,92.27272727272727,119.59524,34.5047,255.0,69.0,119.5952380952381,169.98446655273438,292231,23.313148975372314,,57
92.5,18.737219,140.0,71.0,92.5,92.62963,26.10115,248.0,59.0,92.62962962962963,131.6002655029297,297233,23.687429904937744,,58
79.92308,13.572946,111.0,68.0,79.92307692307692,86.08475,12.862094,125.0,63.0,86.08474576271186,115.06346130371094,302312,24.056249856948853,,59
92.454544,14.54375,120.0,69.0,92.45454545454545,85.13559,12.065439,113.0,60.0,85.13559322033899,114.77346801757812,307335,24.420917987823486,,60
93.36364,14.169576,111.0,74.0,93.36363636363636,89.55357,13.966695,130.0,62.0,89.55357142857143,120.4281005859375,312350,24.851212978363037,,61
102.0,18.094198,143.0,88.0,102.0,97.03846,14.903487,134.0,71.0,97.03846153846153,127.69403076171875,317396,25.227624893188477,,62
121.77778,18.133932,159.0,90.0,121.77777777777777,109.82609,19.3338,174.0,84.0,109.82608695652173,147.35052490234375,322448,25.606740951538086,,63
218.6,43.84792,305.0,186.0,218.6,131.97437,22.69134,222.0,101.0,131.97435897435898,178.7792205810547,327595,26.006407976150513,,64
220.2,51.66972,279.0,162.0,220.2,168.2,54.897118,313.0,45.0,168.2,245.2378692626953,332641,26.392530918121338,,65
192.16667,38.589363,262.0,141.0,192.16666666666666,207.8,55.297737,329.0,116.0,207.8,291.65008544921875,337836,26.80195903778076,,66
145.14285,21.629534,165.0,95.0,145.14285714285714,174.48276,67.659195,407.0,52.0,174.48275862068965,262.33758544921875,342896,27.168078899383545,,67
182.16667,101.9729,350.0,42.0,182.16666666666666,182.14285,63.572067,344.0,107.0,182.14285714285714,266.0193176269531,347996,27.559269905090332,,68
77.92308,46.766953,134.0,13.0,77.92307692307692,203.28,92.77651,485.0,42.0,203.28,325.5582275390625,353078,27.93126678466797,,69
70.13333,25.573078,103.0,22.0,70.13333333333334,102.08,40.06237,218.0,15.0,102.08,151.8102569580078,358182,28.300535917282104,,70
46.590908,26.576918,101.0,5.0,46.59090909090909,74.76119,33.45529,136.0,10.0,74.76119402985074,116.95579528808594,363191,28.675618171691895,,71
37.851852,23.058226,86.0,8.0,37.851851851851855,46.495415,31.975801,123.0,4.0,46.4954128440367,89.03910827636719,368259,29.080703020095825,,72
42.0,26.770632,97.0,4.0,42.0,41.51639,28.03605,103.0,4.0,41.51639344262295,77.52664184570312,373324,29.45967388153076,,73
43.916668,29.33274,93.0,3.0,43.916666666666664,42.932205,28.318027,105.0,4.0,42.932203389830505,78.56918334960938,378390,29.840161085128784,,74
72.666664,27.932459,108.0,19.0,72.66666666666667,49.242718,29.910372,103.0,5.0,49.24271844660194,85.73883056640625,383462,30.212337017059326,,75
89.75,17.819115,104.0,36.0,89.75,55.733334,30.727764,102.0,4.0,55.733333333333334,93.20560455322266,388478,30.62135410308838,,76
94.818184,28.363928,113.0,6.0,94.81818181818181,78.453125,29.133274,119.0,7.0,78.453125,116.56265258789062,393499,31.003870010375977,,77
122.55556,13.647231,148.0,96.0,122.55555555555556,88.31579,32.211014,126.0,13.0,88.3157894736842,129.36984252929688,398533,31.37109684944153,,78
160.28572,12.914159,183.0,143.0,160.28571428571428,123.82927,21.45546,166.0,62.0,123.82926829268293,165.54238891601562,403610,31.744593858718872,,79
230.2,39.22958,275.0,164.0,230.2,164.87097,23.879728,218.0,131.0,164.8709677419355,217.50914001464844,408721,32.11732196807861,,80
377.0,31.059084,416.0,340.0,377.0,279.22223,63.878838,455.0,203.0,279.22222222222223,382.3076477050781,413747,32.48487091064453,,81
147.14285,14.942064,174.0,123.0,147.14285714285714,256.35,77.14744,545.0,193.0,256.35,357.5623779296875,418874,32.85849595069885,,82
120.22222,8.010795,135.0,109.0,120.22222222222223,152.18182,15.775805,194.0,127.0,152.1818181818182,197.3945770263672,423896,33.285852909088135,,83
102.4,8.36899,119.0,93.0,102.4,123.46342,9.934168,146.0,101.0,123.46341463414635,158.11709594726562,428958,33.82632303237915,,84
107.3,10.640018,121.0,91.0,107.3,109.434784,9.335887,129.0,88.0,109.43478260869566,144.72164916992188,433992,34.20892381668091,,85
100.6,8.68562,119.0,90.0,100.6,103.53061,8.708668,122.0,83.0,103.53061224489795,133.92213439941406,439065,34.58606290817261,,86
103.8,7.0682387,115.0,89.0,103.8,104.14286,7.264676,123.0,91.0,104.14285714285714,135.26144409179688,444168,34.967981815338135,,87
102.6,7.472617,114.0,91.0,102.6,102.55102,8.248837,118.0,89.0,102.55102040816327,131.95826721191406,449193,35.359084129333496,,88
116.44444,7.6755185,130.0,102.0,116.44444444444444,105.291664,10.632024,136.0,83.0,105.29166666666667,137.09593200683594,454247,35.75727581977844,,89
141.5,14.133294,157.0,111.0,141.5,114.59091,12.218314,142.0,95.0,114.5909090909091,147.89431762695312,459289,36.16204595565796,,90
187.16667,16.777136,207.0,161.0,187.16666666666666,139.02702,16.137058,173.0,91.0,139.02702702702703,180.61265563964844,464433,36.549423933029175,,91
315.25,83.48466,441.0,232.0,315.25,199.11539,44.88989,263.0,30.0,199.1153846153846,267.48797607421875,469610,36.95729684829712,,92
110.083336,81.39355,345.0,40.0,110.08333333333333,400.3846,112.71444,555.0,190.0,400.38461538461536,554.951171875,474815,37.351438760757446,,93
72.6,34.2302,158.0,31.0,72.6,139.88889,92.47876,434.0,35.0,139.88888888888889,258.2066650390625,479851,37.741851806640625,,94
71.5,45.48901,216.0,25.0,71.5,74.74627,36.558414,214.0,24.0,74.74626865671642,118.38805389404297,484859,38.120375871658325,,95
46.347828,17.339598,89.0,26.0,46.34782608695652,51.214287,22.625277,144.0,23.0,51.214285714285715,78.36109161376953,489878,38.51686406135559,,96
36.464287,13.324205,73.0,10.0,36.464285714285715,41.512398,16.977922,94.0,21.0,41.51239669421488,61.68156433105469,494901,39.005950927734375,,97
34.333332,10.829999,69.0,12.0,34.333333333333336,39.88889,15.308584,93.0,10.0,39.888888888888886,58.04011535644531,499927,39.4068329334259,,98
29.735294,11.120487,52.0,8.0,29.735294117647058,33.704697,14.094838,127.0,6.0,33.70469798657718,50.34355926513672,504949,39.81154990196228,,99
